"","Year","Micro_ID","Field.ID","Date","Sample","Depth","Management","Plant","Block","richness","shannon","simp.even","J"
"PWESmicro_1",2011,"micro-1",1,"Jun-11","1-OA1","0-10cm","Organic","Annual",1,7296,7.15031913630481,0.0559813994649614,0.819824753763544
"PWESmicro_2",2011,"micro-2",16,"Jun-11","1-LA1","0-10cm","LowN","Annual",1,5516,7.01806844609915,0.0686565542022846,0.82394971845687
"PWESmicro_3",2011,"micro-3",31,"Jun-11","1-HA1","0-10cm","HighN","Annual",1,6031,7.09961675332872,0.0614646926756198,0.826598380406209
"PWESmicro_4",2011,"micro-4",46,"Jun-11","1-OA2","0-10cm","Organic","Annual",2,6560,7.18502870920962,0.0644240693933049,0.828338388802122
"PWESmicro_5",2011,"micro-5",61,"Jun-11","1-LA2","0-10cm","LowN","Annual",2,6399,7.22196587213619,0.0672521698065747,0.835030247167756
"PWESmicro_6",2011,"micro-6",76,"Jun-11","1-HA2","0-10cm","HighN","Annual",2,6720,7.22891648134997,0.0651249635089075,0.830590997924778
"PWESmicro_7",2011,"micro-7",91,"Jun-11","1-OA3","0-10cm","Organic","Annual",3,6703,7.23863933113371,0.0620641352315378,0.832923412307298
"PWESmicro_8",2011,"micro-8",106,"Jun-11","1-LA3","0-10cm","LowN","Annual",3,6749,7.15134817751553,0.0634252894300772,0.823663278505219
"PWESmicro_9",2011,"micro-9",121,"Jun-11","1-HA3","0-10cm","HighN","Annual",3,6336,7.25297256379034,0.069290964888286,0.835596679755496
"PWESmicro_10",2011,"micro-10",136,"Jun-11","1-OA4","0-10cm","Organic","Annual",4,6586,7.32116039106361,0.0612482355516463,0.837967169306159
"PWESmicro_11",2011,"micro-11",151,"Jun-11","1-LA4","0-10cm","LowN","Annual",4,6278,7.28552968442177,0.0723454364275569,0.840339791971324
"PWESmicro_12",2011,"micro-12",166,"Jun-11","1-HA4","0-10cm","HighN","Annual",4,5551,7.20258154568101,0.0785662193702552,0.844625997879266
"PWESmicro_13",2011,"micro-13",11,"Jun-11","1-OI1","0-10cm","Organic","IntWheatgrass",1,6736,7.29781617778534,0.0711685500300423,0.839279050712713
"PWESmicro_14",2011,"micro-14",26,"Jun-11","1-LI1","0-10cm","LowN","IntWheatgrass",1,6248,7.2631000844668,0.0719540123374265,0.839463504179373
"PWESmicro_15",2011,"micro-15",41,"Jun-11","1-HI1","0-10cm","HighN","IntWheatgrass",1,6264,7.24905732032545,0.068347277286421,0.835785954907913
"PWESmicro_16",2011,"micro-16",56,"Jun-11","1-OI2","0-10cm","Organic","IntWheatgrass",2,6473,7.2582159218864,0.0673516624478725,0.833893846665386
"PWESmicro_17",2011,"micro-17",71,"Jun-11","1-LI2","0-10cm","LowN","IntWheatgrass",2,6163,7.21263585545634,0.0688453494786287,0.833630887524203
"PWESmicro_18",2011,"micro-18",86,"Jun-11","1-HI2","0-10cm","HighN","IntWheatgrass",2,6697,7.30573735821621,0.0683842070035564,0.837129437646586
"PWESmicro_19",2011,"micro-19",101,"Jun-11","1-OI3","0-10cm","Organic","IntWheatgrass",3,6564,7.29696841120468,0.0709397046622155,0.83707796090531
"PWESmicro_20",2011,"micro-20",116,"Jun-11","1-LI3","0-10cm","LowN","IntWheatgrass",3,6294,7.28126634893304,0.0706898540716212,0.837714951607013
"PWESmicro_21",2011,"micro-21",131,"Jun-11","1-HI3","0-10cm","HighN","IntWheatgrass",3,6707,7.28656664210871,0.0705439630715938,0.835774879767535
"PWESmicro_22",2011,"micro-22",146,"Jun-11","1-OI4","0-10cm","Organic","IntWheatgrass",4,6056,7.13913501199372,0.0642037010842462,0.827281836304161
"PWESmicro_23",2011,"micro-23",161,"Jun-11","1-LI4","0-10cm","LowN","IntWheatgrass",4,6254,7.18822757982968,0.0563756308870911,0.829034549854038
"PWESmicro_24",2011,"micro-24",176,"Jun-11","1-HI4","0-10cm","HighN","IntWheatgrass",4,6197,7.27894422992304,0.0735355400012332,0.838934376269625
"PWESmicro_25",2012,"micro-25",1,"Jun-12","1-OA1","0-10cm","Organic","Annual",1,6793,7.31808508899738,0.0669483817270658,0.838016441728283
"PWESmicro_26",2012,"micro-26",16,"Jun-12","1-LA1","0-10cm","LowN","Annual",1,6270,7.14600587770846,0.0597123702752516,0.826684238773244
"PWESmicro_27",2012,"micro-27",31,"Jun-12","1-HA1","0-10cm","HighN","Annual",1,6228,7.30018513395469,0.0721512674632026,0.842364438342847
"PWESmicro_28",2012,"micro-28",46,"Jun-12","1-OA2","0-10cm","Organic","Annual",2,6906,7.34493607243618,0.0726500314289043,0.841122296260808
"PWESmicro_29",2012,"micro-29",61,"Jun-12","1-LA2","0-10cm","LowN","Annual",2,6373,7.32309759696709,0.0720623974768967,0.839134254391609
"PWESmicro_30",2012,"micro-30",76,"Jun-12","1-HA2","0-10cm","HighN","Annual",2,6873,7.29766520786954,0.0543502999048253,0.834544585441045
"PWESmicro_31",2012,"micro-31",91,"Jun-12","1-OA3","0-10cm","Organic","Annual",3,6734,7.33239851310413,0.0631810605118903,0.840356292640058
"PWESmicro_32",2012,"micro-32",106,"Jun-12","1-LA3","0-10cm","LowN","Annual",3,6995,7.23232827896862,0.065373411272446,0.833890069991805
"PWESmicro_33",2012,"micro-33",121,"Jun-12","1-HA3","0-10cm","HighN","Annual",3,6409,7.17693886785691,0.0613932695996463,0.825044762709344
"PWESmicro_34",2012,"micro-34",136,"Jun-12","1-OA4","0-10cm","Organic","Annual",4,7157,7.36193595438703,0.0643982250030239,0.838135830295224
"PWESmicro_35",2012,"micro-35",151,"Jun-12","1-LA4","0-10cm","LowN","Annual",4,9097,7.32777899406613,0.0485539987462766,0.817590854487755
"PWESmicro_36",2012,"micro-36",166,"Jun-12","1-HA4","0-10cm","HighN","Annual",4,6813,7.19896916649719,0.0671267754473688,0.826772323010498
"PWESmicro_37",2012,"micro-37",11,"Jun-12","1-OI1","0-10cm","Organic","IntWheatgrass",1,7366,7.33771577514408,0.0705678715905729,0.837941075811147
"PWESmicro_38",2012,"micro-38",26,"Jun-12","1-LI1","0-10cm","LowN","IntWheatgrass",1,5539,7.27981074655445,0.0838827098902226,0.849964608608906
"PWESmicro_39",2012,"micro-39",41,"Jun-12","1-HI1","0-10cm","HighN","IntWheatgrass",1,7536,7.35288516149421,0.0571529503167536,0.827353207866004
"PWESmicro_40",2012,"micro-40",56,"Jun-12","1-OI2","0-10cm","Organic","IntWheatgrass",2,8507,7.47486921557609,0.0594998479227724,0.834241112408863
"PWESmicro_41",2012,"micro-41",71,"Jun-12","1-LI2","0-10cm","LowN","IntWheatgrass",2,7907,7.42649776073872,0.0623469528857921,0.835597206540557
"PWESmicro_42",2012,"micro-42",86,"Jun-12","1-HI2","0-10cm","HighN","IntWheatgrass",2,7782,7.42110671794928,0.0566246837601101,0.833768013609711
"PWESmicro_43",2012,"micro-43",101,"Jun-12","1-OI3","0-10cm","Organic","IntWheatgrass",3,8510,7.44843900495939,0.0560596433137021,0.833897439300382
"PWESmicro_44",2012,"micro-44",116,"Jun-12","1-LI3","0-10cm","LowN","IntWheatgrass",3,8167,7.3995273254513,0.0570181663337203,0.831892925446541
"PWESmicro_45",2012,"micro-45",131,"Jun-12","1-HI3","0-10cm","HighN","IntWheatgrass",3,6193,7.24640893185437,0.0711145866271246,0.835332424372874
"PWESmicro_46",2012,"micro-46",146,"Jun-12","1-OI4","0-10cm","Organic","IntWheatgrass",4,6148,7.19502592240551,0.0713465101312397,0.833499869402429
"PWESmicro_47",2012,"micro-47",161,"Jun-12","1-LI4","0-10cm","LowN","IntWheatgrass",4,6525,7.27606262380031,0.0635340412982328,0.836343646699932
"PWESmicro_48",2012,"micro-48",176,"Jun-12","1-HI4","0-10cm","HighN","IntWheatgrass",4,6428,7.21647570877688,0.0610465757007714,0.828249546121239
"PWESmicro_49",2013,"micro-49",1,"Jun-13","1-OA1","0-10cm","Organic","Annual",1,6637,7.36589997993351,0.0730747298196986,0.843289668508804
"PWESmicro_50",2013,"micro-50",11,"Jun-13","1-LA1","0-10cm","LowN","Annual",1,7316,7.36181131429792,0.0615398624280987,0.834383105577727
"PWESmicro_51",2013,"micro-51",21,"Jun-13","1-HA1","0-10cm","HighN","Annual",1,8061,7.38336537375414,0.0589334446825442,0.829527739648358
"PWESmicro_52",2013,"micro-52",31,"Jun-13","1-OA2","0-10cm","Organic","Annual",2,8223,7.4373570780845,0.0597646093241512,0.833386696581759
"PWESmicro_53",2013,"micro-53",41,"Jun-13","1-LA2","0-10cm","LowN","Annual",2,7821,7.42816296428707,0.0607256445594177,0.834038612614765
"PWESmicro_54",2013,"micro-54",51,"Jun-13","1-HA2","0-10cm","HighN","Annual",2,7656,7.41647897262404,0.0613378149340607,0.834482901980608
"PWESmicro_55",2013,"micro-55",61,"Jun-13","1-OA3","0-10cm","Organic","Annual",3,7606,7.40425145129226,0.0591294095644235,0.83126530241068
"PWESmicro_56",2013,"micro-56",71,"Jun-13","1-LA3","0-10cm","LowN","Annual",3,8074,7.40346013581061,0.0568318527499751,0.829082728539067
"PWESmicro_57",2013,"micro-57",81,"Jun-13","1-HA3","0-10cm","HighN","Annual",3,5321,7.09063280414778,0.0602181956355947,0.830768048950912
"PWESmicro_58",2013,"micro-58",91,"Jun-13","1-OA4","0-10cm","Organic","Annual",4,6991,7.33849140475773,0.0671050340222982,0.838832018417654
"PWESmicro_59",2013,"micro-59",101,"Jun-13","1-LA4","0-10cm","LowN","Annual",4,6570,7.213726974808,0.0581570068194572,0.83076673382042
"PWESmicro_60",2013,"micro-60",111,"Jun-13","1-HA4","0-10cm","HighN","Annual",4,6498,7.22700071498891,0.0592491960294766,0.830927292253208
"PWESmicro_61",2013,"micro-61",6,"Jun-13","1-OI1","0-10cm","Organic","IntWheatgrass",1,8266,7.48024697775722,0.063281866821659,0.839338979032486
"PWESmicro_62",2013,"micro-62",16,"Jun-13","1-LI1","0-10cm","LowN","IntWheatgrass",1,7177,7.34210522847911,0.062533632539572,0.833678992109693
"PWESmicro_63",2013,"micro-63",26,"Jun-13","1-HI1","0-10cm","HighN","IntWheatgrass",1,7516,7.41269697502989,0.0679247330026772,0.841252254534069
"PWESmicro_64",2013,"micro-64",36,"Jun-13","1-OI2","0-10cm","Organic","IntWheatgrass",2,7745,7.55600943450127,0.0744465089625469,0.847367205329932
"PWESmicro_65",2013,"micro-65",46,"Jun-13","1-LI2","0-10cm","LowN","IntWheatgrass",2,7390,7.4062732769024,0.0629838772844435,0.837950996122618
"PWESmicro_66",2013,"micro-66",56,"Jun-13","1-HI2","0-10cm","HighN","IntWheatgrass",2,6499,7.21496708087829,0.0598119601273967,0.829400500335098
"PWESmicro_67",2013,"micro-67",66,"Jun-13","1-OI3","0-10cm","Organic","IntWheatgrass",3,6502,7.3219637155735,0.06923480995893,0.839929542369863
"PWESmicro_68",2013,"micro-68",76,"Jun-13","1-LI3","0-10cm","LowN","IntWheatgrass",3,7318,7.40097025580342,0.0639784379834559,0.840720917040466
"PWESmicro_69",2013,"micro-69",86,"Jun-13","1-HI3","0-10cm","HighN","IntWheatgrass",3,6370,7.20316454690758,0.0616899986552099,0.829195078114705
"PWESmicro_70",2013,"micro-70",96,"Jun-13","1-OI4","0-10cm","Organic","IntWheatgrass",4,6917,7.37953477259265,0.0722709265390352,0.844959671851115
"PWESmicro_71",2013,"micro-71",106,"Jun-13","1-LI4","0-10cm","LowN","IntWheatgrass",4,7766,7.4943322828582,0.0662588041796035,0.842590355932792
"PWESmicro_72",2013,"micro-72",116,"Jun-13","1-HI4","0-10cm","HighN","IntWheatgrass",4,6785,7.48812318361682,0.102816065002792,0.857424721972533
